alpha,hans_overall_accuracy
0.0,0.5300333333333334
0.0,0.5300333333333334
0.25,0.5349
0.25,0.5349
0.5,0.5371333333333334
0.5,0.5371333333333334
1.0,0.5362666666666667
1.0,0.5362666666666667
2.0,0.5325666666666666
2.0,0.5325666666666666
